GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B	gpt4.1-mini	gpt4o-mini
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-494	CWE-285	CWE-434	CWE-494	CWE-22	CWE-78	CWE-22	CWE-22
CWE-125	CWE-119	CWE-119	CWE-119	CWE-129	CWE-125	CWE-125	CWE-125
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-20	CWE-362	CWE-362
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-476	CWE-119	CWE-264	CWE-476	CWE-476	CWE-20	CWE-284	CWE-20
CWE-476	CWE-476	CWE-476	CWE-419	CWE-476	CWE-476	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-502	CWE-79	CWE-502	CWE-502	CWE-502	CWE-20	CWE-502	CWE-502
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-269	CWE-269	CWE-250	CWE-269	CWE-379	CWE-78	CWE-269	CWE-250
CWE-94	CWE-94	CWE-94	CWE-77	CWE-94	CWE-94	CWE-94	CWE-94
CWE-121	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-120	CWE-122	CWE-122
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-77	CWE-78	CWE-77	CWE-77	CWE-78	CWE-78	CWE-77	CWE-74
CWE-369	CWE-369	CWE-369	CWE-190	CWE-703	CWE-399	CWE-703	CWE-835
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-119	CWE-190	CWE-190	Error	CWE-190	CWE-190	CWE-190	CWE-190
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-400	CWE-401	CWE-401
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-862	CWE-269	CWE-276	CWE-200	CWE-284	CWE-284	CWE-284	CWE-284
CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-668	CWE-434	CWE-73	CWE-477	CWE-434	CWE-22	CWE-73	CWE-20
CWE-284	CWE-285	CWE-284	CWE-284	CWE-284	CWE-306	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-295	CWE-284	CWE-284	CWE-284	CWE-732	CWE-306	CWE-269	CWE-284
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-862	CWE-285	CWE-285	CWE-862	CWE-285	CWE-285	CWE-285	CWE-285
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119	CWE-121	CWE-121
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-78	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-94	CWE-78	CWE-77	CWE-77	CWE-78	CWE-78	CWE-77	CWE-78
CWE-862	CWE-269	CWE-284	CWE-276	CWE-275	CWE-287	CWE-284	CWE-284
CWE-613	CWE-613	CWE-613	CWE-477	CWE-613	CWE-287	CWE-613	CWE-613
CWE-369	CWE-369	CWE-369	CWE-190	CWE-401	CWE-399	CWE-754	CWE-780
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119	CWE-121	CWE-121
CWE-862	CWE-284	CWE-284	CWE-287	CWE-284	CWE-306	CWE-285	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-94	CWE-94	CWE-94	CWE-77	CWE-94	CWE-94	CWE-94	CWE-94
CWE-639	CWE-639	CWE-639	CWE-639	CWE-639	CWE-918	CWE-639	CWE-639
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-427	CWE-426	CWE-426	CWE-426	CWE-427	CWE-22	CWE-427	CWE-427
CWE-311	CWE-311	CWE-311	CWE-311	CWE-311	CWE-312	CWE-311	CWE-311
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-284	CWE-285	CWE-285	CWE-862	CWE-285	CWE-285	CWE-285	CWE-284
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-77	CWE-78	CWE-94	CWE-78	CWE-94	CWE-78	CWE-77	CWE-77
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94
CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611
CWE-352	CWE-352	CWE-79	CWE-79	CWE-352	CWE-79	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-862	CWE-285	CWE-284	CWE-200	CWE-264	CWE-284	CWE-284	CWE-284
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-119	CWE-119	CWE-120	CWE-119	CWE-119	CWE-119	CWE-119
CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-94	CWE-284	CWE-94	CWE-78	CWE-20	CWE-94	CWE-94	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-672	CWE-400	CWE-400	CWE-400	CWE-400	CWE-399	CWE-400	CWE-250
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-502	CWE-502	CWE-502	CWE-74	CWE-502	CWE-20	CWE-502	CWE-502
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-306	CWE-284	CWE-284	CWE-525	CWE-798	CWE-306	CWE-284	CWE-284
CWE-77	CWE-94	CWE-94	CWE-78	CWE-20	CWE-94	CWE-94	CWE-20
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-404	CWE-20	CWE-20	CWE-400	CWE-400	CWE-400	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-273	CWE-399	CWE-362	CWE-284	CWE-416	CWE-416	CWE-362	CWE-362
CWE-119	CWE-119	CWE-119	CWE-120	CWE-119	CWE-119	CWE-119	CWE-130
CWE-89	CWE-284	CWE-284	CWE-284	CWE-200	CWE-200	CWE-200	CWE-200
CWE-94	CWE-94	CWE-94	CWE-79	CWE-94	CWE-94	CWE-94	CWE-20
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-306	CWE-306	CWE-306	CWE-287	CWE-306	CWE-306	CWE-287	CWE-284
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-346	CWE-346	CWE-451	CWE-346	CWE-1021	CWE-345	CWE-601	CWE-297
CWE-787	CWE-119	CWE-122	CWE-122	CWE-122	CWE-119	CWE-119	CWE-122
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-193	CWE-125	CWE-193	CWE-129	CWE-193	CWE-126	CWE-193	CWE-129
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-1021	CWE-829	CWE-79	CWE-79	CWE-346	CWE-94	CWE-79	CWE-80
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-191	CWE-191	CWE-191	CWE-191	CWE-191	CWE-190	CWE-191	CWE-191
CWE-252	CWE-252	CWE-252	CWE-252	CWE-252	CWE-476	CWE-252	CWE-252
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-668	CWE-125	CWE-665	CWE-106	CWE-131	CWE-20	CWE-125	CWE-200
CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287
CWE-89	CWE-89	CWE-89	Error	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-798	CWE-798	CWE-798	CWE-798	CWE-798	CWE-306	CWE-798	CWE-798
CWE-862	CWE-285	CWE-284	CWE-284	CWE-284	CWE-306	CWE-284	CWE-284
CWE-755	CWE-347	CWE-358	CWE-306	CWE-345	CWE-287	CWE-284	CWE-330
CWE-24	CWE-22	CWE-22	Error	CWE-23	CWE-22	CWE-22	CWE-22
CWE-326	CWE-20	CWE-522	CWE-287	CWE-798	CWE-78	CWE-287	CWE-20
CWE-601	CWE-113	CWE-20	CWE-704	CWE-113	CWE-20	CWE-113	CWE-20
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121
CWE-276	CWE-732	CWE-276	CWE-276	CWE-276	CWE-264	CWE-276	CWE-732
CWE-668	CWE-200	CWE-284	Error	CWE-538	CWE-22	CWE-284	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-20
CWE-613	CWE-384	CWE-613	CWE-346	CWE-613	CWE-287	CWE-613	CWE-613
CWE-119	CWE-119	CWE-119	CWE-120	CWE-119	CWE-120	CWE-787	CWE-119
CWE-835	CWE-400	CWE-835	CWE-835	CWE-835	CWE-835	CWE-835	CWE-835
CWE-918	CWE-601	CWE-918	CWE-20	CWE-918	CWE-20	CWE-918	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119	CWE-119	CWE-20
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352	CWE-88	CWE-352	CWE-352	CWE-352	CWE-352
CWE-401	CWE-401	CWE-401	CWE-484	CWE-401	CWE-401	CWE-401	CWE-401
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-59	CWE-269	CWE-59	Error	CWE-427	CWE-269	CWE-59	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-307	CWE-307	CWE-307	CWE-307	CWE-307	CWE-307	CWE-307	CWE-307
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-77	CWE-78	CWE-77	CWE-78	CWE-78	CWE-78	CWE-94	CWE-94
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-116	CWE-79	CWE-79
CWE-502	CWE-502	CWE-502	Error	CWE-502	CWE-502	CWE-502	CWE-502
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-427	CWE-426	CWE-427	CWE-427	CWE-427	CWE-20	CWE-427	CWE-427
CWE-122	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-862	CWE-269	CWE-284	CWE-862	CWE-862	CWE-306	CWE-285	CWE-284
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-77	CWE-78	CWE-77	CWE-89	CWE-89	CWE-89	CWE-77	CWE-89
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-209	CWE-200	CWE-209	CWE-209	CWE-209	CWE-532	CWE-209	CWE-209
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-120	CWE-121	CWE-120	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-79	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-287	CWE-862	CWE-287	CWE-307	CWE-287	CWE-287	CWE-287	CWE-287
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-74	CWE-269	CWE-284	Error	CWE-200	CWE-200	CWE-284	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-119	CWE-119	CWE-125	CWE-130	CWE-125	CWE-125	CWE-129
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-284	CWE-284	CWE-284
CWE-327	CWE-327	CWE-327	CWE-327	CWE-326	CWE-327	CWE-327	CWE-327
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79	CWE-20
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-306	CWE-285	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-79	CWE-306	CWE-79	CWE-306	CWE-284	CWE-22	CWE-285	CWE-284
CWE-521	CWE-521	CWE-798	CWE-798	CWE-259	CWE-259	CWE-521	CWE-521
CWE-843	CWE-843	CWE-843	Error	CWE-843	CWE-416	CWE-843	CWE-843
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-290	CWE-269	CWE-347	CWE-284	CWE-427	CWE-20	CWE-285	CWE-20
CWE-798	CWE-798	CWE-259	CWE-798	CWE-798	CWE-798	CWE-798	CWE-798
CWE-78	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-78	CWE-78
CWE-502	CWE-502	CWE-502	Error	CWE-502	CWE-20	CWE-502	CWE-502
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	Error	CWE-89	CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-22	CWE-434	CWE-434	CWE-434	CWE-434
CWE-74	CWE-89	CWE-94	CWE-77	CWE-79	CWE-89	CWE-74	CWE-20
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-20
CWE-59	CWE-269	CWE-269	CWE-269	CWE-264	CWE-269	CWE-269	CWE-274
CWE-863	CWE-732	CWE-276	Error	CWE-276	CWE-269	CWE-732	CWE-732
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-476	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-552	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-306	CWE-285	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-798	CWE-798	CWE-798	CWE-798	CWE-798	CWE-284	CWE-798	CWE-798
CWE-306	CWE-287	CWE-287	CWE-384	CWE-287	CWE-306	CWE-284	CWE-287
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119	CWE-122	CWE-122
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-770	CWE-119	CWE-787	CWE-129	CWE-401	CWE-20	CWE-119	CWE-789
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-125	CWE-125	CWE-125	CWE-125	CWE-122	CWE-125	CWE-125	CWE-125
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-89	CWE-287	CWE-287	CWE-287	CWE-287	CWE-306	CWE-287	CWE-287
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-79	CWE-79	CWE-20
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-200
CWE-209	CWE-200	CWE-203	CWE-400	CWE-204	CWE-306	CWE-203	CWE-203
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-203	CWE-330	CWE-203	CWE-499	CWE-780	CWE-310	CWE-327	CWE-327
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-732	CWE-732	CWE-732	CWE-732	CWE-732	CWE-732	CWE-732	CWE-732
CWE-20	CWE-400	CWE-400	CWE-399	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-525	CWE-732	CWE-200	CWE-284	CWE-538	CWE-276	CWE-200	CWE-200
CWE-787	CWE-119	CWE-20	CWE-120	CWE-20	CWE-20	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-287	CWE-287	CWE-306	CWE-287	CWE-287	CWE-306	CWE-285	CWE-284
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-787	CWE-119	CWE-119	CWE-120	CWE-824	CWE-119	CWE-119	CWE-119
CWE-125	CWE-125	CWE-119	CWE-129	CWE-125	CWE-125	CWE-125	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-120	CWE-122	CWE-122
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-269	CWE-287	CWE-287
CWE-404	CWE-400	CWE-400	CWE-468	CWE-400	CWE-400	CWE-400	CWE-400
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-601	CWE-601	CWE-601	CWE-441	CWE-601	CWE-345	CWE-601	CWE-20
CWE-121	CWE-121	CWE-121	Error	CWE-121	CWE-120	CWE-121	CWE-121
CWE-416	CWE-416	CWE-416	CWE-426	CWE-416	CWE-416	CWE-416	CWE-416
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-601	CWE-918	CWE-918
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-404	CWE-400	CWE-20	CWE-20	CWE-400	CWE-400	CWE-20	CWE-20
CWE-415	CWE-415	CWE-415	CWE-415	CWE-415	CWE-401	CWE-415	CWE-415
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-80	CWE-79	CWE-79
CWE-306	CWE-287	CWE-306	CWE-287	CWE-306	CWE-306	CWE-306	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-79	CWE-285	CWE-284	CWE-79	CWE-284	CWE-22	CWE-284	CWE-284
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-668	CWE-285	CWE-264	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
